FrameID, MovementScore
165,613.656
166,603.977
167,599.504
168,583.767
169,557.825
170,529.994
171,513.135
172,503.082
173,477.008
174,451.528
175,441.348
176,416.385
177,401.550
178,371.528
179,357.631
180,330.325
181,309.566
182,289.621
183,294.692
184,289.779
185,292.613
186,285.815
187,299.848
188,298.919
189,293.009
190,282.565
191,282.729
192,277.017
193,270.471
194,259.273
195,257.081
196,255.427
197,249.373
198,240.836
199,238.238
200,234.295
201,234.081
202,228.193
203,240.071
204,236.801
205,241.850
206,240.233
207,254.745
208,261.101
209,283.634
210,303.750
211,353.497
212,367.799
213,379.826
214,386.600
215,400.474
216,405.858
217,403.740
218,404.289
219,420.841
220,426.467
221,426.138
222,420.249
223,429.063
224,441.424
225,437.533
226,433.179
227,434.546
228,424.345
229,421.473
230,406.526
231,419.104
232,425.243
233,436.215
234,439.912
235,458.079
236,458.198
237,454.700
238,435.719
239,439.027
240,422.081
241,405.509
242,392.016
243,406.765
244,418.925
245,438.108
246,464.748
247,496.893
248,513.487
249,529.692
250,552.535
251,569.567
252,631.670
253,661.316
254,682.969
255,716.398
256,741.116
257,800.635
258,846.818
259,896.722
260,930.419
261,997.268
262,1054.769
263,1119.905
264,1165.074
265,1223.365
266,1258.615
267,1268.070
268,1265.041
269,1277.478
270,1323.124
271,1368.112
272,1410.002
273,1451.673
274,1481.091
275,1500.044
276,1517.749
277,1546.288
278,1574.714
279,1598.428
280,1603.021
281,1612.283
282,1604.990
283,1587.112
284,1554.998
285,1538.808
286,1511.220
287,1492.109
288,1477.443
289,1500.122
290,1494.774
291,1500.746
292,1470.759
293,1445.222
294,1423.805
295,1400.399
296,1384.354
297,1380.065
298,1358.903
299,1318.618
300,1271.282
301,1230.206
302,1176.724
303,1118.657
304,1060.375
305,1022.832
306,978.170
307,927.085
308,869.662
309,833.867
310,779.344
311,735.711
312,694.693
313,688.683
314,681.556
315,691.488
316,691.120
317,718.288
318,731.098
319,742.081
320,751.306
321,777.157
322,802.711
323,822.287
324,840.001
325,858.444
326,873.453
327,883.021
328,904.472
329,928.702
330,940.046
331,954.206
332,975.521
333,1044.107
334,1115.271
335,1200.353
336,1267.441
337,1349.534
338,1408.296
339,1461.688
340,1491.477
341,1547.444
342,1578.295
343,1607.844
344,1634.191
345,1661.027
346,1679.742
347,1677.916
348,1673.307
349,1687.003
350,1703.867
351,1700.589
352,1692.485
353,1682.049
354,1652.851
355,1604.010
356,1579.606
357,1584.620
358,1566.182
359,1570.938
360,1556.470
361,1546.262
362,1520.287
363,1517.334
364,1489.460
365,1480.491
366,1471.662
367,1497.096
368,1492.002
369,1484.262
370,1466.371
371,1456.369
372,1440.445
373,1413.623
374,1371.779
375,1346.619
376,1329.404
377,1325.933
378,1320.672
379,1317.571
380,1310.880
381,1274.654
382,1236.682
383,1208.297
384,1178.148
385,1167.964
386,1146.120
387,1147.584
388,1124.050
389,1089.517
390,1050.088
391,1039.244
392,1007.144
393,980.381
394,924.334
395,887.552
396,828.285
397,768.809
398,708.808
399,660.549
400,616.364
401,576.892
402,535.025
403,521.464
404,510.046
405,498.716
406,490.655
407,492.222
408,497.609
409,502.299
410,507.120
411,526.199
412,529.773
413,527.023
414,519.396
415,533.876
416,541.778
417,541.559
418,533.673
419,533.745
420,517.355
421,502.613
422,476.421
423,468.034
424,451.988
425,421.750
426,401.557
427,397.790
428,388.347
429,394.455
430,406.434
431,412.303
432,427.193
433,450.587
434,470.910
435,502.808
436,524.568
437,568.903
438,603.584
439,645.887
440,678.340
441,726.759
442,749.795
443,778.885
444,798.955
445,846.989
446,879.554
447,914.210
448,943.118
449,979.708
450,1004.515
451,1017.632
452,1024.811
453,1035.263
454,1027.864
455,1012.133
456,988.368
457,971.253
458,949.567
459,927.061
460,913.092
461,918.578
462,911.507
463,920.211
464,912.690
465,929.528
466,934.139
467,955.436
468,963.338
469,996.562
470,1021.921
471,1079.372
472,1108.503
473,1145.573
474,1177.882
475,1201.407
476,1217.170
477,1235.452
478,1246.094
479,1240.257
480,1229.686
481,1219.589
482,1194.639
483,1154.959
484,1116.768
485,1089.565
486,1053.065
487,1031.568
488,1011.332
489,1029.726
490,1045.180
491,1074.214
492,1095.824
493,1128.593
494,1152.200
495,1170.817
496,1180.029
497,1217.104
498,1214.965
499,1214.217
500,1215.506
501,1238.022
502,1314.738
503,1339.216
504,1373.403
505,1394.792
506,1405.916
507,1415.579
508,1411.443
509,1382.034
510,1327.325
511,1279.213
512,1236.340
513,1231.212
514,1229.363
515,1260.807
516,1276.039
517,1304.361
518,1325.409
519,1356.578
520,1366.633
521,1384.021
522,1374.308
523,1381.725
524,1337.640
525,1318.855
526,1277.053
527,1243.474
528,1204.814
529,1153.506
530,1112.879
531,1094.991
532,1105.997
533,1112.180
534,1120.517
535,1153.084
536,1154.056
537,1136.999
538,1139.020
539,1172.853
540,1179.464
541,1193.513
542,1187.106
543,1206.438
544,1193.888
545,1182.374
546,1148.099
547,1162.919
548,1163.792
549,1195.480
550,1222.645
551,1293.957
552,1360.276
553,1420.979
554,1465.095
555,1529.720
556,1583.836
557,1596.451
558,1592.308
559,1606.369
560,1597.230
561,1573.925
562,1542.424
563,1514.177
564,1472.845
565,1438.218
566,1386.253
567,1378.499
568,1344.114
569,1324.633
570,1290.324
571,1299.926
572,1276.111
573,1281.899
574,1273.876
575,1312.072
576,1290.632
577,1257.000
578,1207.501
