FrameID, MovementScore
167,482.779
168,482.023
169,468.462
170,440.972
171,414.411
172,396.866
173,380.481
174,363.149
175,337.774
176,321.715
177,301.921
178,278.665
179,250.586
180,235.266
181,213.676
182,205.413
183,193.294
184,187.163
185,177.401
186,187.458
187,186.034
188,194.976
189,193.690
190,209.582
191,204.748
192,197.927
193,187.651
194,188.825
195,184.234
196,173.570
197,164.556
198,161.881
199,156.941
200,147.933
201,142.348
202,138.584
203,142.781
204,144.775
205,139.112
206,144.679
207,144.339
208,156.370
209,161.905
210,183.915
211,194.314
212,222.311
213,235.547
214,259.183
215,263.859
216,288.909
217,290.583
218,289.653
219,293.450
220,305.832
221,314.189
222,324.977
223,321.754
224,320.897
225,323.135
226,324.846
227,318.478
228,313.205
229,304.983
230,299.785
231,287.169
232,292.921
233,289.713
234,294.623
235,288.953
236,289.718
237,281.254
238,281.316
239,271.130
240,263.175
241,241.805
242,250.331
243,239.967
244,232.216
245,234.264
246,258.562
247,294.490
248,317.283
249,328.249
250,358.652
251,386.244
252,456.714
253,484.744
254,501.288
255,534.355
256,556.397
257,591.768
258,638.680
259,699.776
260,753.987
261,799.761
262,860.779
263,896.650
264,943.072
265,990.390
266,1018.228
267,1040.939
268,1051.188
269,1028.739
270,1016.339
271,1057.292
272,1110.064
273,1184.437
274,1233.019
275,1291.236
276,1349.904
277,1417.770
278,1474.128
279,1537.911
280,1588.428
281,1626.093
282,1646.193
283,1651.302
284,1654.657
285,1638.577
286,1618.322
287,1599.421
288,1590.441
289,1573.459
290,1578.025
291,1595.621
292,1615.111
293,1593.138
294,1579.869
295,1570.518
296,1550.310
297,1518.970
298,1489.061
299,1459.579
300,1399.477
301,1326.657
302,1248.691
303,1191.942
304,1145.956
305,1129.900
306,1070.878
307,1001.515
308,930.883
309,861.877
310,804.746
311,740.146
312,672.947
313,631.858
314,617.824
315,615.115
316,624.397
317,645.957
318,664.232
319,690.007
320,722.473
321,736.262
322,738.461
323,755.553
324,789.293
325,810.191
326,812.714
327,817.175
328,825.398
329,846.167
330,872.339
331,900.836
332,926.712
333,972.605
334,1062.791
335,1166.146
336,1263.856
337,1344.688
338,1434.199
339,1490.168
340,1546.492
341,1582.694
342,1636.109
343,1678.357
344,1736.311
345,1767.729
346,1824.505
347,1846.249
348,1844.020
349,1839.348
350,1852.260
351,1860.382
352,1850.912
353,1843.052
354,1825.229
355,1779.674
356,1718.520
357,1688.948
358,1671.657
359,1647.312
360,1623.945
361,1586.927
362,1561.806
363,1518.884
364,1486.910
365,1436.942
366,1426.625
367,1406.258
368,1415.001
369,1405.437
370,1418.667
371,1412.222
372,1434.011
373,1420.508
374,1404.336
375,1373.847
376,1341.597
377,1320.017
378,1320.080
379,1312.520
380,1315.232
381,1312.266
382,1296.707
383,1259.740
384,1225.870
385,1190.221
386,1171.937
387,1140.414
388,1136.618
389,1099.035
390,1071.998
391,1015.099
392,992.211
393,943.797
394,903.151
395,844.907
396,792.289
397,722.365
398,684.576
399,619.969
400,566.752
401,509.149
402,474.902
403,465.370
404,433.202
405,412.613
406,417.329
407,422.470
408,416.948
409,408.511
410,408.798
411,422.157
412,427.748
413,419.435
414,423.953
415,418.785
416,430.367
417,426.569
418,430.718
419,418.522
420,405.296
421,382.554
422,374.519
423,350.766
424,359.326
425,345.234
426,326.303
427,311.473
428,307.082
429,300.360
430,294.304
431,287.279
432,289.447
433,306.186
434,319.218
435,342.644
436,374.242
437,395.883
438,429.195
439,450.214
440,487.206
441,510.632
442,559.998
443,574.334
444,599.598
445,616.040
446,665.134
447,697.054
448,734.497
449,761.439
450,801.997
451,817.805
452,820.069
453,825.666
454,837.010
455,837.056
456,833.395
457,824.688
458,823.094
459,819.767
460,807.242
461,798.017
462,793.799
463,791.478
464,791.066
465,783.725
466,804.433
467,803.497
468,832.872
469,841.299
470,860.140
471,859.669
472,876.636
473,892.438
474,925.176
475,953.883
476,1000.921
477,1030.389
478,1052.727
479,1061.612
480,1073.339
481,1064.354
482,1031.577
483,990.914
484,953.335
485,924.190
486,902.971
487,876.130
488,863.110
489,853.910
490,869.614
491,878.824
492,916.226
493,942.023
494,985.402
495,1005.234
496,1040.642
497,1042.551
498,1060.266
499,1066.278
500,1087.640
501,1089.598
502,1160.742
503,1180.390
504,1190.100
505,1218.589
506,1238.577
507,1260.364
508,1242.810
509,1227.138
510,1194.433
511,1161.824
512,1097.150
513,1042.862
514,1013.715
515,1019.593
516,1023.938
517,1036.781
518,1044.536
519,1063.314
520,1073.474
521,1083.703
522,1098.596
523,1121.369
524,1109.581
525,1092.573
526,1078.855
527,1047.504
528,1034.328
529,994.076
530,951.668
531,927.686
532,897.471
533,897.834
534,895.529
535,915.359
536,916.229
537,920.007
538,899.102
539,912.263
540,910.833
541,916.490
542,915.898
543,933.019
544,940.694
545,925.316
546,900.935
547,891.574
548,891.442
549,900.195
550,930.137
551,974.140
552,1026.069
553,1057.139
554,1143.185
555,1231.944
556,1263.031
557,1292.425
558,1316.569
559,1315.403
560,1309.858
561,1286.839
562,1255.882
563,1205.593
564,1182.806
565,1176.420
566,1155.825
567,1106.119
568,1087.545
569,1057.657
570,1038.735
571,1001.447
572,1003.169
573,984.296
574,1005.165
575,983.170
576,999.794
577,971.306
578,963.952
579,927.440
580,942.863
581,938.759
582,940.693
583,938.618
584,939.611
585,927.467
586,886.226
587,832.080
588,802.241
589,774.948
590,739.940
