FrameID, MovementScore
165,567.456
166,576.846
167,583.947
168,572.794
169,554.484
170,524.387
171,495.797
172,458.615
173,438.309
174,406.764
175,392.712
176,363.708
177,351.779
178,318.868
179,302.837
180,277.757
181,258.351
182,237.143
183,245.848
184,233.679
185,227.655
186,225.696
187,233.601
188,235.236
189,232.520
190,225.049
191,227.730
192,227.373
193,223.805
194,219.645
195,220.052
196,219.583
197,213.032
198,201.320
199,195.427
200,182.359
201,185.621
202,180.729
203,182.320
204,176.615
205,183.220
206,177.225
207,183.240
208,182.807
209,207.879
210,222.180
211,242.644
212,263.230
213,296.327
214,318.072
215,329.463
216,329.748
217,342.412
218,352.801
219,358.912
220,361.633
221,368.187
222,370.836
223,372.900
224,358.616
225,367.452
226,354.693
227,356.833
228,344.923
229,344.698
230,330.887
231,336.661
232,325.314
233,331.041
234,322.135
235,335.018
236,335.665
237,340.271
238,334.463
239,332.917
240,332.091
241,320.655
242,311.446
243,312.425
244,318.591
245,331.031
246,358.842
247,396.149
248,416.237
249,436.796
250,448.171
251,481.590
252,559.988
253,602.797
254,626.923
255,660.192
256,672.651
257,714.131
258,753.368
259,824.437
260,875.436
261,961.110
262,1020.315
263,1092.091
264,1175.942
265,1263.714
266,1323.239
267,1348.312
268,1319.953
269,1273.768
270,1248.946
271,1276.306
272,1316.984
273,1377.630
274,1426.301
275,1463.847
276,1495.145
277,1542.954
278,1596.236
279,1696.513
280,1793.258
281,1891.336
282,1946.150
283,1988.004
284,1989.804
285,1986.360
286,1959.166
287,1958.226
288,1925.470
289,1892.428
290,1918.466
291,1988.711
292,2005.040
293,2017.995
294,2024.856
295,2024.078
296,2009.413
297,2001.067
298,1956.014
299,1885.413
300,1804.802
301,1719.959
302,1602.356
303,1496.257
304,1387.326
305,1304.845
306,1210.599
307,1132.045
308,1043.914
309,976.506
310,898.329
311,836.703
312,765.473
313,752.237
314,734.788
315,728.979
316,749.009
317,788.071
318,825.816
319,856.750
320,873.708
321,890.192
322,908.250
323,926.354
324,948.203
325,963.427
326,975.594
327,995.123
328,997.387
329,1024.995
330,1060.654
331,1128.206
332,1186.854
333,1290.578
334,1403.404
335,1574.839
336,1708.456
337,1792.855
338,1855.588
339,1947.035
340,2039.222
341,2070.725
342,2113.226
343,2184.036
344,2236.822
345,2288.016
346,2307.827
347,2296.785
348,2281.854
349,2298.805
350,2321.085
351,2325.363
352,2315.589
353,2326.512
354,2283.557
355,2215.559
356,2126.719
357,2081.501
358,2040.161
359,2023.051
360,1973.065
361,1942.353
362,1901.171
363,1876.553
364,1844.541
365,1831.549
366,1801.000
367,1787.652
368,1761.710
369,1749.198
370,1740.937
371,1731.412
372,1698.951
373,1675.704
374,1649.871
375,1612.251
376,1569.991
377,1553.337
378,1525.022
379,1550.514
380,1547.391
381,1549.019
382,1530.443
383,1524.511
384,1477.952
385,1444.333
386,1388.389
387,1379.415
388,1333.006
389,1285.845
390,1215.348
391,1183.908
392,1124.058
393,1063.678
394,995.421
395,938.040
396,862.740
397,791.002
398,717.419
399,653.537
400,599.189
401,563.080
402,526.580
403,489.596
404,476.476
405,472.298
406,453.049
407,455.687
408,445.440
409,469.680
410,467.928
411,483.666
412,483.855
413,492.601
414,490.566
415,500.759
416,495.669
417,525.386
418,519.087
419,501.155
420,473.210
421,459.062
422,451.810
423,431.133
424,411.757
425,404.777
426,388.171
427,372.517
428,357.431
429,349.810
430,340.269
431,339.868
432,332.013
433,341.803
434,341.728
435,367.836
436,384.754
437,414.363
438,429.924
439,483.027
440,509.624
441,545.198
442,567.721
443,629.405
444,653.157
445,675.071
446,704.358
447,749.218
448,783.702
449,814.265
450,844.814
451,880.303
452,904.784
453,914.786
454,913.616
455,920.459
456,919.714
457,922.837
458,899.187
459,897.065
460,886.233
461,906.243
462,907.275
463,925.290
464,920.096
465,924.721
466,908.316
467,934.216
468,944.555
469,977.808
470,994.435
471,1008.602
472,1023.541
473,1057.281
474,1095.803
475,1131.239
476,1162.129
477,1194.899
478,1212.333
479,1221.160
480,1223.263
481,1211.302
482,1168.255
483,1122.954
484,1066.405
485,1037.432
486,998.021
487,984.112
488,964.811
489,982.817
490,984.056
491,1025.091
492,1053.501
493,1089.198
494,1108.389
495,1170.778
496,1201.443
497,1217.869
498,1234.313
499,1267.873
500,1294.665
501,1307.912
502,1375.045
503,1391.995
504,1418.021
505,1434.732
506,1440.873
507,1438.513
508,1424.282
509,1407.954
510,1346.736
511,1291.662
512,1201.075
513,1157.641
514,1118.297
515,1132.750
516,1124.552
517,1139.522
518,1143.339
519,1182.356
520,1187.197
521,1232.712
522,1251.396
523,1251.022
524,1245.516
525,1260.651
526,1268.296
527,1241.661
528,1186.882
529,1147.847
530,1107.287
531,1064.982
532,1035.683
533,1033.829
534,1035.913
535,1052.922
536,1054.994
537,1093.804
538,1081.010
539,1088.904
540,1077.310
541,1114.979
542,1101.999
543,1119.579
544,1108.005
545,1115.874
546,1075.056
547,1082.133
548,1060.264
549,1062.429
550,1086.824
551,1139.312
552,1207.102
553,1258.404
554,1299.663
555,1365.584
556,1425.578
557,1450.594
558,1458.157
559,1463.910
560,1428.771
561,1404.076
562,1357.833
563,1330.558
564,1269.051
565,1249.311
566,1195.175
567,1158.756
568,1106.618
569,1093.650
570,1056.181
571,1038.383
572,1003.978
573,1042.306
574,1035.111
575,1026.757
576,1008.326
577,1008.096
578,995.440
579,970.142
